Page,Comment text,Last edited at
2,"Até que ponto as revisões sistemáticas conseguem realmente captar a complexidade interdisciplinar das alterações climáticas, considerando que o processo de pesquisa depende fortemente dos termos escolhidos?",2025-11-25 18:35:57
3,"Será que enfatizar a vulnerabilidade dos jovens às alterações climáticas contribui para a sua mobilização ou, pelo contrário, intensifica sentimentos de ansiedade e impotência?",2025-11-25 13:47:30
4,"É adequado aplicar modelos de Positive Youth Development (PYD), originalmente pensados para problemas sociais, ao contexto global das alterações climáticas, que envolve fatores estruturais fora do controlo dos jovens?",2025-11-25 18:24:14
5,"Os critérios de exclusão utilizados na revisão sistemátic poderão limitar demasiado o conhecimento produzido sobre jovens e clima, deixando de fora perspetivas úteis?",2025-11-25 18:26:00
6,"Os critérios de avaliação de qualidade (como o QuADS) são suficientes para comparar estudos de métodos tão diversos ou acabam por penalizar abordagens inovadoras e não convencionais? ",2025-11-25 18:37:07
7,Intervenções educativas sobre clima devem focar-se sobretudo em conhecimento científico ou em competências socioemocionais como coping e empowerment?,2025-11-25 18:28:57
7,A promoção da esperança nos jovens pode ser essencial para a ação climática ou pode criar otimismo ingênuo e diminuir a perceção da gravidade da crise?,2025-11-25 18:29:57
9,"Os comportamentos pró-ambientais dos jovens devem ser medidos como ações individuais (reciclagem, transporte, consumo) ou como ações sistémicas (ativismo, influência familiar, mobilização coletiva)?",2025-11-25 18:30:57
9,"Os programas de PYD podem aproveitar a influência da família e dos amigos ao reforçar a comunicação entre jovens e pessoas significativas. A revisão sistemática mostra que falar sobre o clima com pais e amigos está associado a melhores estratégias de coping e a um aumento do comportamento pró-ambiental. Assim, os programas podem incluir atividades que promovam diálogo familiar, projetos e treino de competências de comunicação. Desta forma, transformam o apoio social existente em motivação, bem-estar e maior envolvimento dos jovens na ação climática.",2025-12-02 16:05:49
10,O foco nas ações individuais dos jovens não corre o risco de desresponsabilizar instituições e governos pelo combate às alterações climáticas?,2025-11-25 18:32:13
11,"Será que a crise climática exige uma transformação dos próprios modelos de desenvolvimento humano, ou estes modelos já são suficientes?",2025-11-25 18:34:40
11,Os sistemas educativos e políticos estão preparados para integrar psicólogos do desenvolvimento no planeamento de respostas às alterações climáticas?,2025-11-25 18:33:35
