Page,Comment text,Last edited at
2,"Dado que a persuasão linguística é inevitável e amplamente ensinada, devemos considerar a formação em comunicação persuasiva uma competência social legítima ou uma ferramenta potencialmente perigosa?",2025-12-05 16:06:22
2,"Até que ponto a democracia depende de controlar não os factos, mas os enquadramentos narrativos?",2025-12-05 16:09:22
3,"O facto de metáforas invisíveis poderem amplificar emoções sugere que o impacto cognitivo da linguagem ocorre frequentemente sem consciência crítica, levantando questões sobre a capacidade real de autodeterminação cognitiva no discurso mediático.",2025-12-05 16:10:53
4,"Com tantas disciplinas a definirem “frame” de modos distintos, será que a investigação em framing sofre de falta de unificação conceptual que limita a sua aplicabilidade prática?",2025-12-05 16:12:14
4,O texto sugere que compreender o mundo implica ativar estruturas cognitivas pré-existentes. Isto levanta um dilema: será a linguagem moldadora do pensamento ou simplesmente reveladora das estruturas mentais já existentes?,2025-12-05 16:14:20
7,"Se certos estímulos linguísticos capturam atenção automaticamente, estamos vulneráveis a formas involuntárias de manipulação atencional em ambientes publicitários e digitais?",2025-12-05 16:14:59
8,"A metáfora da “batalha contra o cancro”, por exemplo, aumenta fatalismo, um efeito emocional e cognitivo indesejado. Isto sugere que metáforas bem-intencionadas podem ter consequências sociais e psicológicas nocivas",2025-12-05 16:18:28
10,"O famoso estudo dos 600 doentes mostra que decisões racionais podem ser revertidas apenas pela formulação positiva ou negativa, questionando se a racionalidade humana é estável ou altamente dependente do contexto linguístico.",2025-12-05 16:19:35
10,"Dado que metáforas moldam estruturas inteiras de raciocínio, deve-se limitar o uso de metáforas por parte de autoridades políticas e científicas para evitar enviesamentos cognitivos não intencionais?",2025-12-05 16:41:31
10,"Este exemplo demonstra como decisões supostamente racionais são profundamente sensíveis ao modo linguístico como os resultados são apresentados. Se as preferências humanas mudam apenas com a formulação, será que existe realmente uma ‘decisão objetiva’, ou todas as escolhas são linguisticamente situadas?",2025-12-05 16:40:02
11,"A alteração subtil entre tempos verbais gerou uma diferença operacional crítica. Isto mostra que decisões de vida ou morte podem depender de microescolhas linguísticas invisíveis, o que implica que formação linguística aplicada deveria ser obrigatória em profissões de emergência.",2025-12-05 16:42:30
11,"Se muitos efeitos de framing não são replicáveis, até que ponto devemos basear políticas públicas ou estratégias eleitorais em estudos que podem não se generalizar?",2025-12-05 16:43:47
12,"Se compreender linguagem implica criar simulações mentais personalizadas a partir de experiências prévias, então duas pessoas nunca entendem exatamente a mesma mensagem. Isto não significa que qualquer comunicação é intrinsecamente ambígua?",2025-12-05 16:46:08
